STA,DATE,YEAR,MONTH,MONTH#,[TChl a],Perid,But fuco,Fuco,Zea,Gyr diester,Average,[TChl a].1,Perid.1,But fuco.1,Fuco.1,Zea.1,Gyr diester.1,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
6.0,1999-10-12,1999.0,OCTOBER,10.0,3.569836516144025,0.037162682833333335,0.015403266500000002,0.9734558105000001,0.12047614400000001,no data,,,,,,,,,,,
8.0,1999-10-13,1999.0,OCTOBER,10.0,0.6841183149597911,0.0,0.0,0.15073272133333332,0.0,no data,1999,2.0824106585264692,0.05174504472222222,0.010941572962962963,0.46398309103703705,0.023614485981481484,,,,,
15.0,1999-10-12,1999.0,OCTOBER,10.0,2.126059680411722,0.0,0.0,0.25964941783333334,0.017418897,no data,,,,,,,,,,,
6.0,1999-11-08,1999.0,NOVEMBER,11.0,2.4054250359482343,0.0242904075,0.02815288683333333,0.5684314933333334,0.022977579666666664,no data,,,,,,,,,,,
8.0,1999-11-09,1999.0,NOVEMBER,11.0,0.3110645838477441,0.0,0.0,0.08786983233333333,0.0,no data,,,,,,,,,,,
15.0,1999-11-08,1999.0,NOVEMBER,11.0,1.3858617673943463,0.016835813999999998,0.0,0.17869869033333333,0.007086523666666666,no data,,,,,,,,,,,
6.0,1999-12-07,1999.0,DECEMBER,12.0,4.767918206509899,0.05595268266666666,0.04332280766666667,1.5410330740000004,0.030529119000000004,no data,,,,,,,,,,,
8.0,1999-12-08,1999.0,DECEMBER,12.0,0.21161475257447457,0.0,0.0,0.043713193666666664,0.0,no data,,,,,,,,,,,
15.0,1999-12-07,1999.0,DECEMBER,12.0,3.2797970689479876,0.33146381550000004,0.011595195666666667,0.372263586,0.0140421105,no data,,,,,,,,,,,
6.0,2000-01-05,2000.0,JANUARY,1.0,3.2113695330360645,0.10454679900000001,0.0,1.3133687546666666,0.029915655333333332,no data,Average,[TChl a],Perid,But fuco,Fuco,Zea,Gyr diester,,,,
8.0,2000-01-06,2000.0,JANUARY,1.0,0.4222245522810789,0.007935359166666666,0.0,0.12130810133333333,0.003473967,no data,2000,4.121558786629637,0.08304576370952381,0.22751737815714282,1.158233191004762,0.16063988246523805,,,,,
15.0,2000-01-05,2000.0,JANUARY,1.0,2.458212469316911,0.06449734550000001,0.0460865155,0.8491279850000001,0.031601589,no data,,,,,,,,,,,
6.0,2000-02-23,2000.0,FEBRUARY,2.0,2.0140819848751135,0.048594443333333334,0.0,0.6130710991666666,0.04502046533333334,no data,,,,,,,,,,,
8.0,2000-02-22,2000.0,FEBRUARY,2.0,2.317191300914562,0.03656974550000001,0.0,0.7649813085000001,0.02709973116666667,no data,,,,,,,,,,,
15.0,2000-02-23,2000.0,FEBRUARY,2.0,2.1126904269730375,0.07777784183333333,0.0,0.7356155,0.037478335999999994,no data,,,,,,,,,,,
6.0,2000-03-13,2000.0,MARCH,3.0,2.4864958323771345,0.026547783666666668,0.034807287500000006,0.8636486596666666,0.043798528,no data,,,,,,,,,,,
8.0,2000-03-14,2000.0,MARCH,3.0,0.6122014514856182,0.014866624666666666,0.0,0.09762719483333333,0.013364363,no data,,,,,,,,,,,
15.0,2000-03-13,2000.0,MARCH,3.0,1.899913035289789,0.0,0.0,0.8263755873333332,0.03207795166666667,no data,,,,,,,,,,,
6.0,2000-04-11,2000.0,APRIL,4.0,5.022326198879675,0.07057850566666665,0.0,1.7924839006666664,0.0,no data,,,,,,,,,,,
8.0,2000-04-10,2000.0,APRIL,4.0,1.2058709934784821,0.0550805865,0.0,0.36183654816666666,0.0,no data,,,,,,,,,,,
15.0,2000-04-11,2000.0,APRIL,4.0,1.4114651038746628,0.021937004,0.0,0.24913746500000003,0.0,no data,,,,,,,,,,,
6.0,2000-05-16,2000.0,MAY,5.0,11.531826484625775,0.14703336266666667,2.5866577715,4.3771852110000005,0.13445944299999998,no data,,,,,,,,,,,
8.0,2000-05-17,2000.0,MAY,5.0,1.1071352573506272,0.0,0.0,0.08591710183333333,0.008288123333333335,no data,,,,,,,,,,,
15.0,2000-05-16,2000.0,MAY,5.0,8.238098698117133,0.11640378833333333,1.3921867714999998,3.6005514678333332,0.09936889583333333,no data,,,,,,,,,,,
6.0,2000-06-13,2000.0,JUNE,6.0,13.424318765220505,0.06723905166666666,1.8143357185,5.660821993,0.3185192051666667,no data,,,,,,,,,,,
8.0,2000-06-15,2000.0,JUNE,6.0,1.1666711014926385,0.0,0.0,0.1991058615,0.0,no data,,,,,,,,,,,
15.0,2000-06-13,2000.0,JUNE,6.0,11.750560627847415,0.08324018266666666,1.8980156769999998,5.277585711666667,0.14712603533333332,no data,,,,,,,,,,,
6.0,2000-07-11,2000.0,JULY,7.0,7.622152731339599,0.09577992666666667,0.05974116200000001,1.618678664,0.626591559,no data,,,,,,,,,,,
8.0,2000-07-12,2000.0,JULY,7.0,1.0363606903029337,0.057954068166666664,0.0,0.09998489650000002,0.017252736166666668,no data,,,,,,,,,,,
15.0,2000-07-11,2000.0,JULY,7.0,7.445195757866248,0.1653693416666667,0.07769596699999999,1.9796614495000002,0.4343788036666667,no data,,,,,,,,,,,
6.0,2000-08-15,2000.0,AUGUST,8.0,12.145540664255593,0.2813131213333333,0.0282122225,2.2165540666666668,1.1538234475000002,no data,,,,,,,,,,,
8.0,2000-08-17,2000.0,AUGUST,8.0,1.4275565005543536,0.0,0.0,0.38125440716666664,0.013608310166666669,no data,,,,,,,,,,,
15.0,2000-08-15,2000.0,AUGUST,8.0,16.704231616920122,0.19273199483333334,0.0,2.0732825433333333,1.6519695373333332,no data,,,,,,,,,,,
6.0,2000-09-12,2000.0,SEPTEMBER,9.0,5.256542709891695,0.15664878083333333,0.0253691425,1.1844637148333335,0.3759810808333333,no data,,,,,,,,,,,
8.0,2000-09-14,2000.0,SEPTEMBER,9.0,1.9202883328733895,0.0,0.0,0.39850095816666664,0.023726404166666666,no data,,,,,,,,,,,
15.0,2000-09-12,2000.0,SEPTEMBER,9.0,3.488842187492435,0.12090103349999999,0.0,0.7601593945,0.2943488318333333,no data,,,,,,,,,,,
6.0,2000-10-18,2000.0,OCTOBER,10.0,3.4158372305855664,0.08512550533333332,0.0,0.3129629336666667,0.021628269833333335,no data,,,,,,,,,,,
8.0,2000-10-16,2000.0,OCTOBER,10.0,0.745748386114042,0.0,0.0,0.08466381933333332,0.0,no data,,,,,,,,,,,
15.0,2000-10-18,2000.0,OCTOBER,10.0,1.4058698228589261,0.011763138666666666,0.0,0.17209964166666666,0.008194433783333333,no data,,,,,,,,,,,
6.0,2000-11-15,2000.0,NOVEMBER,11.0,3.093337673438251,0.3403804146666667,0.0,0.42752280849999996,0.0104285055,no data,,,,,,,,,,,
8.0,2000-11-16,2000.0,NOVEMBER,11.0,0.5353909420774446,0.04760722783333333,0.0,0.07153501683333334,0.0,no data,,,,,,,,,,,
15.0,2000-11-15,2000.0,NOVEMBER,11.0,1.4195202317793862,0.130005494,0.0,0.26097534983333337,0.0,no data,,,,,,,,,,,
6.0,2000-12-11,2000.0,DECEMBER,12.0,2.1850567255155466,0.18687191633333333,0.0,0.17106546083333335,0.005096996666666667,no data,,,,,,,,,,,
8.0,2000-12-13,2000.0,DECEMBER,12.0,2.077736344384836,0.09130134183333333,0.0,0.5350471086666666,0.013774680666666667,no data,,,,,,,,,,,
15.0,2000-12-11,2000.0,DECEMBER,12.0,4.05825395298034,,,,,,,,,,,,,,,,
6.0,2001-01-10,2001.0,JANUARY,1.0,2.754722158733461,0.23899976716666665,0.0,0.6523576005000001,0.03943180033333333,no data,Average,[TChl a],Perid,But fuco,Fuco,Zea,Gyr diester,,,,
8.0,2001-01-11,2001.0,JANUARY,1.0,2.4730812884833537,0.06760418616666666,0.0,0.7121246563333333,0.018109119666666666,no data,2001,2.885748105847166,0.06275781014619089,0.1805575073146518,0.767545504078653,0.12389342288053987,,,,,
15.0,2001-01-10,2001.0,JANUARY,1.0,3.625811428720037,0.4001670743333333,0.0355998275,0.7250297445,0.035982049833333335,no data,,,,,,,,,,,
6.0,2001-02-06,2001.0,FEBRUARY,2.0,2.3890516644127744,0.229112621,0.024353726833333332,0.3875091831666666,0.029747611499999996,no data,,,,,,,,,,,
8.0,2001-02-07,2001.0,FEBRUARY,2.0,1.3636171179404875,0.05679911933333333,0.0,0.3717545153333333,0.021724506833333334,no data,,,,,,,,,,,
15.0,2001-02-06,2001.0,FEBRUARY,2.0,2.701629826425525,0.17924025933333337,0.020205576666666666,0.8946008061666666,0.028939032,no data,,,,,,,,,,,
6.0,2001-03-15,2001.0,MARCH,3.0,2.9077453926478527,0.0,0.02646307833333333,0.6467068741666666,0.0,no data,,,,,,,,,,,
8.0,2001-03-12,2001.0,MARCH,3.0,2.191786585873297,0.030358056,0.036429059166666666,0.8098329921666667,0.05884714333333333,no data,,,,,,,,,,,
15.0,2001-03-14,2001.0,MARCH,3.0,2.4905588595304975,0.0,0.03238333116666666,0.6404291396666667,0.0314471695,no data,,,,,,,,,,,
